category,component,comparison,metric,n,mean_delta,ci_low,ci_high,p_value,significant
corner,feedback_loop,B − A,meter_accuracy,5,0.75,0.35,1.0,0.125,True
corner,semantic_rag,C − B,meter_accuracy,5,0.05,0.0,0.15,1.0,False
corner,metric_examples,D − B,meter_accuracy,5,0.05,0.0,0.15,1.0,False
corner,rag_metric_combined,E − B,meter_accuracy,5,0.05,0.0,0.15,1.0,False
corner,pure_semantic_rag,F − A,meter_accuracy,5,0.0,0.0,0.0,1.0,False
corner,pure_metric_examples,G − A,meter_accuracy,5,0.8,0.4,1.0,0.125,True
corner,pure_rag_metric_combined,H − A,meter_accuracy,5,0.4,0.0,0.8,0.5,False
corner,feedback_value_full,E − H,meter_accuracy,5,0.4,0.0,0.8,0.5,False
corner,interaction_rag_metric,E − C − D + B,meter_accuracy,5,-0.05,-0.15,0.0,1.0,False
corner,interaction_rag_metric_no_feedback,H − F − G + A,meter_accuracy,5,-0.4,-0.8,0.0,0.5,False
corner,feedback_loop,B − A,rhyme_accuracy,5,0.0,0.0,0.0,1.0,False
corner,semantic_rag,C − B,rhyme_accuracy,5,0.0,0.0,0.0,1.0,False
corner,metric_examples,D − B,rhyme_accuracy,5,0.0,0.0,0.0,1.0,False
corner,rag_metric_combined,E − B,rhyme_accuracy,5,0.0,0.0,0.0,1.0,False
corner,pure_semantic_rag,F − A,rhyme_accuracy,5,-0.1,-0.3,0.0,1.0,False
corner,pure_metric_examples,G − A,rhyme_accuracy,5,-0.1,-0.3,0.0,1.0,False
corner,pure_rag_metric_combined,H − A,rhyme_accuracy,5,0.0,0.0,0.0,1.0,False
corner,feedback_value_full,E − H,rhyme_accuracy,5,0.0,0.0,0.0,1.0,False
corner,interaction_rag_metric,E − C − D + B,rhyme_accuracy,5,0.0,0.0,0.0,1.0,False
corner,interaction_rag_metric_no_feedback,H − F − G + A,rhyme_accuracy,5,0.2,0.0,0.6,1.0,False
corner,feedback_loop,B − A,regeneration_success,5,0.75,0.35,1.0,0.125,True
corner,semantic_rag,C − B,regeneration_success,5,0.05,-0.55,0.6,1.0,False
corner,metric_examples,D − B,regeneration_success,5,-0.55,-0.95,-0.15,0.25,True
corner,rag_metric_combined,E − B,regeneration_success,5,-0.35,-0.75,0.0,0.5,False
corner,pure_semantic_rag,F − A,regeneration_success,5,0.0,0.0,0.0,1.0,False
corner,pure_metric_examples,G − A,regeneration_success,5,0.0,0.0,0.0,1.0,False
corner,pure_rag_metric_combined,H − A,regeneration_success,5,0.0,0.0,0.0,1.0,False
